combo,iterations,depth,learning_rate,l2_leaf_reg,bagging_temperature,mean_rmse_cv,std_rmse_cv,sharpe,dir_acc_pct,mae_pct,profit_factor,TP,TN,FP,FN,accuracy,elapsed_s
12,100000,6,0.01,11.0,0.5,0.005197992493314119,0.0008369959266251435,0.025720823267230276,51.340734415029885,100.00009606786399,1.0826729055301458,4714,1298,4483,1215,0.5134073441502989,5.3
70,10000,8,0.005,15.0,1.5,0.005198691310710949,0.0008366084550202553,0.02563996405107729,51.40051238257899,99.99874940293702,1.0824024744210798,5016,1003,4778,913,0.5140051238257899,17.4
94,5000,8,0.005,15.0,1.0,0.005198691310710949,0.0008366084550202553,0.02563996405107729,51.40051238257899,99.99874940293702,1.0824024744210798,5016,1003,4778,913,0.5140051238257899,18.0
48,25000,8,0.03,25.0,0.5,0.005195963851176646,0.0008364577467536305,0.025587950931236288,51.272416737830916,100.03312248503569,1.0822285544012673,4311,1693,4088,1618,0.5127241673783092,9.1
105,10000,8,0.03,25.0,0.5,0.005195963851176646,0.0008364577467536305,0.025587950931236288,51.272416737830916,100.03312248503569,1.0822285544012673,4311,1693,4088,1618,0.5127241673783092,9.5
138,2000,8,0.03,25.0,0.5,0.005195963851176646,0.0008364577467536305,0.025587950931236288,51.272416737830916,100.03312248503569,1.0822285544012673,4311,1693,4088,1618,0.5127241673783092,9.3
140,25000,8,0.03,25.0,1.0,0.005195963851176646,0.0008364577467536305,0.025587950931236288,51.272416737830916,100.03312248503569,1.0822285544012673,4311,1693,4088,1618,0.5127241673783092,8.9
115,100000,6,0.005,25.0,1.0,0.005197805549078767,0.0008368003768448596,0.02542930519760929,51.63108454312554,100.00020223011761,1.081698254335806,4646,1400,4381,1283,0.5163108454312554,11.4
23,5000,6,0.05,43.0,1.5,0.005196665956567157,0.0008363050285852157,0.02536277456712766,51.041844577284365,100.03981417479551,1.0814759429770548,4220,1757,4024,1709,0.5104184457728437,4.5
41,2000,8,0.01,7.0,0.5,0.005199420314006721,0.0008371912832628895,0.025203658206103905,51.28949615713066,99.98908315677883,1.080944445409087,4521,1485,4296,1408,0.5128949615713065,9.7
50,10000,8,0.01,7.0,1.0,0.005199420314006721,0.0008371912832628895,0.025203658206103905,51.28949615713066,99.98908315677883,1.080944445409087,4521,1485,4296,1408,0.5128949615713065,10.0
121,2000,8,0.005,25.0,0.5,0.005197475299727697,0.0008368488288209109,0.025150472792057888,51.263877028181035,99.98607064201714,1.0807668488688338,4553,1450,4331,1376,0.5126387702818104,24.9
65,2000,8,0.01,15.0,1.5,0.005197545462464225,0.0008367151047803135,0.025129916279762438,50.99914602903502,100.056600826761,1.0806982145693638,4680,1292,4489,1249,0.5099914602903501,13.4
131,10000,8,0.01,15.0,1.0,0.005197545462464225,0.0008367151047803135,0.025129916279762438,50.99914602903502,100.056600826761,1.0806982145693638,4680,1292,4489,1249,0.5099914602903501,13.6
40,10000,8,0.01,11.0,1.0,0.005198046483595899,0.0008372191352712758,0.02498324156211751,50.91374893253629,99.99101849953695,1.0802086237810393,4255,1707,4074,1674,0.509137489325363,10.3
61,100000,8,0.01,11.0,1.0,0.005198046483595899,0.0008372191352712758,0.02498324156211751,50.91374893253629,99.99101849953695,1.0802086237810393,4255,1707,4074,1674,0.509137489325363,10.6
85,10000,8,0.01,11.0,0.5,0.005198046483595899,0.0008372191352712758,0.02498324156211751,50.91374893253629,99.99101849953695,1.0802086237810393,4255,1707,4074,1674,0.509137489325363,10.8
49,2000,8,0.05,20.0,0.5,0.0051959228541430215,0.000836566151434347,0.024953525492207355,51.14432109308284,100.11238465833736,1.0801094608587003,4917,1072,4709,1012,0.5114432109308283,8.3
88,100000,8,0.05,20.0,1.5,0.0051959228541430215,0.000836566151434347,0.024953525492207355,51.14432109308284,100.11238465833736,1.0801094608587003,4917,1072,4709,1012,0.5114432109308283,8.5
32,5000,6,0.005,15.0,1.5,0.005198702844764183,0.0008368991848005281,0.024693228524639392,51.118701964133216,99.99272714716992,1.079241240950863,4621,1365,4416,1308,0.5111870196413322,7.8
74,5000,8,0.05,25.0,0.5,0.005196937396124795,0.0008369621099394103,0.02460991495302131,50.96498719043553,100.10916018389793,1.0789634982869774,4521,1448,4333,1408,0.509735269000854,8.2
97,5000,8,0.05,25.0,1.5,0.005196937396124795,0.0008369621099394103,0.02460991495302131,50.96498719043553,100.10916018389793,1.0789634982869774,4521,1448,4333,1408,0.509735269000854,8.1
14,2000,6,0.01,20.0,1.5,0.005198373112724098,0.00083657495647143,0.02445719045419006,51.34927412467975,100.04826784310951,1.0784545484469925,4696,1317,4464,1233,0.5134927412467976,7.7
66,25000,6,0.01,20.0,1.0,0.005198373112724098,0.00083657495647143,0.02445719045419006,51.34927412467975,100.04826784310951,1.0784545484469925,4696,1317,4464,1233,0.5134927412467976,7.6
10,25000,8,0.05,15.0,0.5,0.005197681812779415,0.0008363310208362181,0.02440232913595558,51.21263877028181,100.11425339636901,1.0782717841755274,4863,1134,4647,1066,0.5121263877028182,7.3
45,5000,8,0.05,15.0,1.0,0.005197681812779415,0.0008363310208362181,0.02440232913595558,51.21263877028181,100.11425339636901,1.0782717841755274,4863,1134,4647,1066,0.5121263877028182,7.1
109,5000,8,0.05,15.0,1.5,0.005197681812779415,0.0008363310208362181,0.02440232913595558,51.21263877028181,100.11425339636901,1.0782717841755274,4863,1134,4647,1066,0.5121263877028182,7.0
38,10000,6,0.05,20.0,1.5,0.0051997779454947945,0.0008370178302059106,0.024273695637810986,50.95644748078565,100.078696649859,1.0778433793731157,5253,714,5067,676,0.5095644748078565,3.2
144,5000,6,0.005,11.0,1.5,0.005198938287572002,0.0008370096788429582,0.024231255932580856,51.11016225448335,100.0144251218795,1.077702074789981,4580,1405,4376,1349,0.5111016225448335,8.4
68,10000,8,0.005,5.0,0.5,0.005199972493518614,0.0008369848555244956,0.02383200618972177,51.639624252775405,99.9972379769514,1.0763736769074346,4557,1490,4291,1372,0.5163962425277541,14.0
47,25000,6,0.03,5.0,1.0,0.00520030661352615,0.0008363392406771041,0.023777417059288243,51.40905209222887,100.0517856977581,1.076192175056292,4974,1046,4735,955,0.5140905209222887,3.3
107,25000,6,0.03,5.0,0.5,0.00520030661352615,0.0008363392406771041,0.023777417059288243,51.40905209222887,100.0517856977581,1.076192175056292,4974,1046,4735,955,0.5140905209222887,3.3
11,2000,8,0.005,11.0,1.0,0.005198998325662349,0.0008369559280805308,0.02366442918951676,51.050384286934246,99.99451367845545,1.0758166034407495,4701,1277,4504,1228,0.5105038428693425,14.3
24,100000,8,0.005,11.0,1.0,0.005198998325662349,0.0008369559280805308,0.02366442918951676,51.050384286934246,99.99451367845545,1.0758166034407495,4701,1277,4504,1228,0.5105038428693425,14.6
62,5000,8,0.005,11.0,1.0,0.005198998325662349,0.0008369559280805308,0.02366442918951676,51.050384286934246,99.99451367845545,1.0758166034407495,4701,1277,4504,1228,0.5105038428693425,13.9
119,25000,8,0.005,11.0,1.5,0.005198998325662349,0.0008369559280805308,0.02366442918951676,51.050384286934246,99.99451367845545,1.0758166034407495,4701,1277,4504,1228,0.5105038428693425,14.8
69,5000,6,0.005,43.0,0.5,0.005198332808997062,0.0008368823190577412,0.02366333708484271,51.118701964133216,99.96262263803828,1.0758129739337348,4213,1773,4008,1716,0.5111870196413322,15.6
83,5000,6,0.005,43.0,1.0,0.005198332808997062,0.0008368823190577412,0.02366333708484271,51.118701964133216,99.96262263803828,1.0758129739337348,4213,1773,4008,1716,0.5111870196413322,15.3
113,100000,6,0.005,43.0,0.5,0.005198332808997062,0.0008368823190577412,0.02366333708484271,51.118701964133216,99.96262263803828,1.0758129739337348,4213,1773,4008,1716,0.5111870196413322,15.4
